DataStatus,RangeM,NumTrials,NumDetections,DetectionProbability,DetectionCi95Low,DetectionCi95High,LocalisationRmseM,RmseCi95Low,RmseCi95High,AssumedEffectiveLossDb
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,100,400,400,1.0,0.9904873594003194,1.0,1.3955379702399056,1.3278548192741217,1.4603814467409462,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,200,400,399,0.9975,0.9859763590327523,0.9995585635705656,1.6896923743847814,1.5744769367325229,1.8303660832073023,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,300,400,396,0.99,0.9745730330055918,0.9961045792067212,2.96963830949267,2.6794854382497966,3.31642159293643,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,400,400,374,0.935,0.9064641783755448,0.9552598243027332,5.0851394545374795,4.667761093443177,5.469365294751555,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,500,400,349,0.8725,0.8362337983417458,0.9016792844114923,7.363627627463366,6.776769711808794,7.92999572970342,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,600,400,257,0.6425,0.5943808773044147,0.6879080201246762,9.133678608098203,8.365635291706754,9.905787585505825,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,700,400,180,0.45,0.40195136207927884,0.4989999019806892,10.929532883076574,9.930095504332478,12.000796082400685,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,800,400,116,0.29,0.24769592405093643,0.3362993850009294,12.284929144267561,10.723307807124351,13.766141082391918,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,900,400,91,0.2275,0.1891226131151639,0.2710617760116621,12.406587029131732,10.658146947049346,14.271306562473482,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1000,400,57,0.1425,0.11163780858819913,0.18016372944057255,17.30048800903602,14.262230050984966,20.67995496155116,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1100,400,40,0.1,0.07429885168964503,0.13331126079009953,17.275827195969814,14.384050414035539,20.126154140450193,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1200,400,22,0.055,0.036598221864059276,0.08186802826965653,17.68156801032712,13.447021118170225,21.654833561503512,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1300,400,8,0.02,0.010168264597915496,0.038963870377777945,,,,30.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,1400,400,5,0.0125,0.005350671853550634,0.02892415273113802,,,,30.0
