DataStatus,PredictionHorizonS,SyntheticSeed,Threshold,Precision,Recall,F1,PositivePrevalence
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,1,0.55,0.9487179487179487,0.9173553719008265,0.9327731092436975,0.17285714285714285
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,2,0.55,0.9894736842105263,0.8468468468468469,0.9126213592233009,0.15857142857142856
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,3,0.55,0.9576271186440678,0.9658119658119658,0.9617021276595744,0.16714285714285715
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,4,0.55,0.9583333333333334,0.9019607843137255,0.9292929292929293,0.1457142857142857
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,5,0.55,0.9907407407407407,0.8699186991869918,0.9264069264069263,0.1757142857142857
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,6,0.55,0.905511811023622,0.9583333333333334,0.9311740890688259,0.17142857142857143
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,7,0.55,0.9304347826086956,0.9553571428571429,0.9427312775330396,0.16
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,8,0.55,0.9137931034482759,0.9724770642201835,0.9422222222222223,0.15571428571428572
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,9,0.55,0.9509803921568627,0.8899082568807339,0.9194312796208531,0.15571428571428572
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,10,0.55,1.0,0.8347826086956521,0.909952606635071,0.16428571428571428
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,5,1,0.5,0.7603305785123967,0.8288288288288288,0.793103448275862,0.15857142857142856
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,5,2,0.5,0.7293233082706767,0.8981481481481481,0.8049792531120332,0.15428571428571428
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,5,3,0.5,0.7246376811594203,0.8130081300813008,0.7662835249042146,0.1757142857142857
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,5,4,0.5,0.7047619047619048,0.7628865979381443,0.7326732673267325,0.13857142857142857
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,5,5,0.5,0.7843137254901961,0.8163265306122449,0.8,0.14
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,5,6,0.5,0.6690647482014388,0.8454545454545455,0.7469879518072289,0.15714285714285714
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,5,7,0.5,0.7961165048543689,0.845360824742268,0.82,0.13857142857142857
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,5,8,0.5,0.8,0.7941176470588235,0.7970479704797047,0.19428571428571428
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,5,9,0.5,0.6306306306306306,0.8641975308641975,0.7291666666666666,0.11571428571428571
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,5,10,0.5,0.8031496062992126,0.8429752066115702,0.8225806451612903,0.17285714285714285
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,10,1,0.46,0.6710526315789473,0.7669172932330827,0.7157894736842105,0.19
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,10,2,0.46,0.5663716814159292,0.6597938144329897,0.6095238095238096,0.13857142857142857
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,10,3,0.46,0.5066666666666667,0.8172043010752689,0.6255144032921811,0.13285714285714287
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,10,4,0.46,0.5300546448087432,0.8434782608695652,0.6510067114093961,0.16428571428571428
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,10,5,0.46,0.5347593582887701,0.819672131147541,0.6472491909385114,0.1742857142857143
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,10,6,0.46,0.4107142857142857,0.8761904761904762,0.5592705167173252,0.15
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,10,7,0.46,0.5844155844155844,0.75,0.6569343065693432,0.17142857142857143
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,10,8,0.46,0.48058252427184467,0.8839285714285714,0.6226415094339622,0.16
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,10,9,0.46,0.44871794871794873,0.9090909090909091,0.6008583690987125,0.11
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,10,10,0.46,0.47904191616766467,0.8333333333333334,0.6083650190114068,0.13714285714285715
