DataStatus,Method,SyntheticSeed,TimeS,PersistentDemandFraction
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,0,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,2,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,4,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,6,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,8,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,10,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,12,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,14,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,16,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,18,0.09384895721922551
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,20,0.15358682999710688
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,22,0.22159098447431974
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,24,0.2760970662624867
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,26,0.3059259962689256
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,28,0.3293300766879719
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,30,0.3346543402238706
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,32,0.3414068121071092
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,34,0.3455606972492287
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,36,0.34108245347872773
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,38,0.33536007647290805
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,40,0.33180923668115775
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,42,0.33180689312270195
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,44,0.32422607023512723
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,46,0.3253745440720405
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,48,0.32482593213788485
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,50,0.32888472051476864
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,52,0.3206697682452237
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,54,0.3222498071029214
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,56,0.33032077585739633
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,58,0.33624528369493456
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,60,0.33128962255284383
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,62,0.33946224105446504
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,64,0.34995874270036054
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,66,0.3414884099346485
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,68,0.33775099846815676
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,70,0.3354131414002939
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,72,0.3371322403605308
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,74,0.33569914217284624
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,76,0.3292360619177531
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,78,0.3245457880643484
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,80,0.323804528149551
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,82,0.3245232878818266
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,84,0.3181530008454501
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,86,0.33328333270494903
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,88,0.33169079102325805
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,1,90,0.3328402741779752
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,0,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,2,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,4,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,6,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,8,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,10,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,12,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,14,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,16,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,18,0.04843217332644782
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,20,0.09269397468118247
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,22,0.1700058963060976
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,24,0.23037939556457604
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,26,0.2765460223774386
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,28,0.30399346879235273
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,30,0.31863184808015566
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,32,0.31351677042785525
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,34,0.31652527452295937
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,36,0.31164900951646346
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,38,0.3094601377276504
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,40,0.30061186826063147
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,42,0.3103501151559112
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,44,0.3026983371960679
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,46,0.3081890479036261
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,48,0.30851375852845725
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,50,0.3089956943358129
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,52,0.3100902962639238
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,54,0.309552665045899
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,56,0.3193778558378881
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,58,0.3264402306259206
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,60,0.3224403329859626
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,62,0.3144315057503775
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,64,0.31573244299103626
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,66,0.3076854752110745
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,68,0.3181653587690519
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,70,0.3064725244085342
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,72,0.3053232384787374
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,74,0.3045349932976086
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,76,0.30705638463866813
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,78,0.3009914555186062
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,80,0.3095484184787142
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,82,0.3074964208520359
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,84,0.3173908805435273
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,86,0.3195344630274511
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,88,0.31514118547053005
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,2,90,0.31913922420142005
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,3,0,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,3,2,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,3,4,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,3,6,0.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,3,8,0.0
