DataStatus,PointType,Index,EastM,NorthM
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,0,10.551101665994548,58.39725240822489
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,1,41.95707657783226,133.0963819146639
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,2,-40.09095935347254,66.68622613137671
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,3,43.56037144022155,10.006853160466402
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,4,-95.57593957573856,16.152706918320085
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,5,137.59132831181793,120.94333079285575
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,6,192.1417855087481,-232.75679521514343
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,7,-50.761172220861546,-2.8408838020510534
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,8,-15.548841659745296,-90.30424432931096
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,9,60.1849219011019,-80.91250103710226
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,10,103.55273439121167,83.50157203791171
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,11,73.29891897717799,90.51802224170898
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,12,-127.52280200684723,38.879937034315944
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,13,198.76131715608196,-76.88372182948582
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,14,177.5992669920481,135.64372140070373
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,15,-232.12869217521333,20.757517506244504
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,16,30.36938614886841,-13.00562591681791
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,17,14.92269890980521,-132.3859206515278
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,18,53.35772956628821,15.063989479237227
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,19,-5.468100784912033,-2.1153994078226255
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,20,30.426343174022488,-43.92993518654001
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,21,38.177549272146905,103.18573557665998
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,22,-11.337547562203707,105.38746760150867
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,23,-62.28586350548302,-152.66669896354017
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,24,-137.88674761150352,21.408204273421706
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,25,6.216770463539619,5.879739615610487
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,26,45.093884816735226,2.3047943877140367
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,27,132.65861411061098,-143.2528571617569
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,28,69.46835878028942,13.678523092203198
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,29,43.55893046684532,100.98237717936524
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,30,-192.97164529093564,57.89867075754765
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,31,47.05824731185931,-50.7356191781407
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,32,64.49313120351171,197.56556106267965
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,33,-252.69178300835657,72.33760317407159
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,34,34.00424061621946,18.912188687758487
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,35,-29.30574831436346,-1.8834815841548838
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,36,13.387535106446506,-54.20378751928762
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,37,-175.84194348982476,173.0844725016474
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,38,346.04828066211985,-145.7918858631925
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,39,-174.37921778838728,-87.46691406804462
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,40,48.90030353543066,-26.811978001366057
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,41,-35.39162978479571,13.625323255569118
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,42,56.27746580055985,-55.768091904493126
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,43,87.92058886394776,-52.938516281603476
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,44,-157.8759552997756,185.5946434726787
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,45,74.01652721571742,-54.209002727476125
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,46,13.361441396305409,-156.10799113689782
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,47,39.91840055083595,88.51857528911404
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,48,9.522006184061226,35.89547769155294
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,49,-223.4607378380548,203.02949962634395
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,50,32.35443502463314,139.0874556206484
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,51,133.07614896015446,-2.0342439475224228
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,52,20.544849957514884,-63.975193333339874
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,53,-39.179336578263104,-63.337216629255614
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,54,-3.1384884521780996,135.24502250436075
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,55,52.409610457799026,-81.11523015065379
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,56,-233.58729285456377,-166.2062980400128
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,57,-138.8826089621356,23.47205243942535
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,OtherUE,58,-77.21988989475248,-17.72354756658641
