DataStatus,Method,TotalUes,NumSyntheticSeeds,P5ThroughputMbpsMean,P5ThroughputMbpsCi95,PdrPercentMean,PdrPercentCi95,OutageFractionMean,OutageFractionCi95,PersistentDemandFractionMean,PersistentDemandFractionCi95
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,80,10,0.04301583481574158,0.0015178058128960598,82.09550554098146,0.8430362791400828,0.3015448527560283,0.026550666566392628,0.24593775733240347,0.021979922664837795
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,90,10,0.032219262334703985,0.0022936309390355564,76.56436745103858,1.068310342749614,0.3892959821702856,0.023242434568163845,0.31549341081182314,0.022050577699994835
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Static UAV,100,10,0.02181383139035648,0.0017194790294423818,71.16794840512333,0.9750339260421598,0.4548125503346866,0.026937482067793218,0.42380181420751856,0.023967806029353837
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Oracle reactive,80,10,0.11425233069634037,0.007913862374975074,94.25383033482662,0.8696062460991063,0.12698785373295263,0.010857399358572589,0.07401992714491654,0.0060417559579230805
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Oracle reactive,90,10,0.1008179200335565,0.00777670769637013,92.53577923287051,1.0269091755503332,0.15105619636708445,0.007519194935364247,0.09853198426110413,0.018714082157979876
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,Oracle reactive,100,10,0.0823733571992253,0.0040438160361078,88.54739814309399,0.6912973721096475,0.22088128926479075,0.016255358796746704,0.15471577290586752,0.019942180948225013
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,ISAC reactive,80,10,0.09745538391923529,0.005293784210442967,92.30657323860433,1.045085002154634,0.18029555569507402,0.007849660744939854,0.12146560110310874,0.010484754115642059
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,ISAC reactive,90,10,0.0819895007003553,0.005276560456825583,88.39897269866802,1.0084536067473808,0.22627401010823842,0.017990399572211484,0.1738966749034549,0.025458663463454077
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,ISAC reactive,100,10,0.05619494952980438,0.0037666267467330993,81.38204151255248,0.8292151726135537,0.3138311981787739,0.014031579991686383,0.21081398417414582,0.02009061488395545
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,ISAC + RF predictive,80,10,0.11081100201641148,0.0065097082145350975,94.18982673976022,0.9229822561178064,0.1412595710710605,0.01684289876832895,0.10186569795394407,0.015000309394799441
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,ISAC + RF predictive,90,10,0.09355851479790064,0.007356138571175914,91.3704026127267,1.225542058330135,0.17775260692224704,0.016322801181860764,0.12427142796255101,0.01406252267669246
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,ISAC + RF predictive,100,10,0.07652677171081751,0.0069420861641809805,87.05519361844257,1.0225853181899114,0.25311588404903385,0.01761907818877422,0.18728307972979577,0.01630628744803018
